method,keep_ratio,metric,value,n_samples,n_failures,path
full,,ppl_gt,1.4687543311009925,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/full/ppl_gt/result.json
full,,rouge_gt,0.3565759550193275,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/full/rouge_gt/result.json
random_image_only,0.1,ppl_gt,1.4603438893735536,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p1/ppl_gt/result.json
random_image_only,0.1,rouge_vs_full,0.9487333738596263,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p1/rouge_vs_full/result.json
random_image_only,0.2,ppl_gt,1.459876052236356,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p2/ppl_gt/result.json
random_image_only,0.2,rouge_vs_full,0.9652334313385229,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p2/rouge_vs_full/result.json
random_image_only,0.3,ppl_gt,1.4629566395260896,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p3/ppl_gt/result.json
random_image_only,0.3,rouge_vs_full,0.9695105383212081,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p3/rouge_vs_full/result.json
random_image_only,0.4,ppl_gt,1.4632915132581852,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p4/ppl_gt/result.json
random_image_only,0.4,rouge_vs_full,0.9688331667859089,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p4/rouge_vs_full/result.json
random_image_only,0.5,ppl_gt,1.465914728045388,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p5/ppl_gt/result.json
random_image_only,0.5,rouge_vs_full,0.9763041985246338,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p5/rouge_vs_full/result.json
random_image_only,0.6,ppl_gt,1.4666857416673547,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p6/ppl_gt/result.json
random_image_only,0.6,rouge_vs_full,0.9771531783411335,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p6/rouge_vs_full/result.json
random_image_only,0.7,ppl_gt,1.466509373611914,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p7/ppl_gt/result.json
random_image_only,0.7,rouge_vs_full,0.9899249752545946,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p7/rouge_vs_full/result.json
random_image_only,0.8,ppl_gt,1.4673280657936296,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p8/ppl_gt/result.json
random_image_only,0.8,rouge_vs_full,0.9908412648459417,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p8/rouge_vs_full/result.json
random_image_only,0.9,ppl_gt,1.4676771788633274,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p9/ppl_gt/result.json
random_image_only,0.9,rouge_vs_full,0.9893787828840943,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_image_only/keep_0p9/rouge_vs_full/result.json
random_all_token,0.1,ppl_gt,255.7058054455048,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p1/ppl_gt/result.json
random_all_token,0.1,rouge_vs_full,0.1546928943030847,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p1/rouge_vs_full/result.json
random_all_token,0.2,ppl_gt,134.03279967844531,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p2/ppl_gt/result.json
random_all_token,0.2,rouge_vs_full,0.1793097558191616,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p2/rouge_vs_full/result.json
random_all_token,0.3,ppl_gt,44.5657671873152,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p3/ppl_gt/result.json
random_all_token,0.3,rouge_vs_full,0.2132600367278648,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p3/rouge_vs_full/result.json
random_all_token,0.4,ppl_gt,9.426656097457583,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p4/ppl_gt/result.json
random_all_token,0.4,rouge_vs_full,0.3096895975033311,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p4/rouge_vs_full/result.json
random_all_token,0.5,ppl_gt,2.934612347892462,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p5/ppl_gt/result.json
random_all_token,0.5,rouge_vs_full,0.46468213952135223,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p5/rouge_vs_full/result.json
random_all_token,0.6,ppl_gt,1.8109223953798477,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p6/ppl_gt/result.json
random_all_token,0.6,rouge_vs_full,0.7081182642440618,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p6/rouge_vs_full/result.json
random_all_token,0.7,ppl_gt,1.559829142332567,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p7/ppl_gt/result.json
random_all_token,0.7,rouge_vs_full,0.8105765790336099,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p7/rouge_vs_full/result.json
random_all_token,0.8,ppl_gt,1.4864971701234357,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p8/ppl_gt/result.json
random_all_token,0.8,rouge_vs_full,0.8878781460586842,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p8/rouge_vs_full/result.json
random_all_token,0.9,ppl_gt,1.485667184134396,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p9/ppl_gt/result.json
random_all_token,0.9,rouge_vs_full,0.9411122399199948,200,0,/workspace/zap/experiments/EXP-20260428-004-docvqa-random-scope/outputs/random_all_token/keep_0p9/rouge_vs_full/result.json
